id,name,marketDef,quantity,typeId,categoryId,factionId,rarityId,level,active,logId,buyOrders,buyPriceMax,sellOrders,sellPriceMin,timestamp
6156,Left shoulder rest,structure_6156,1,107,5,2,99,19,true,,,,,,2023-09-25 18:46:08.649
6155,Right shoulder rest,structure_6155,1,107,5,2,99,19,true,,,,,,2023-09-25 18:46:08.649
6154,Tray,structure_6154,1,107,5,2,99,17,true,,,,,,2023-09-25 18:46:08.649
6153,Right armrest,structure_6153,1,107,5,2,99,12,true,,,,,,2023-09-25 18:46:08.649
6152,Left armrest,structure_6152,1,107,5,2,99,12,true,,,,,,2023-09-25 18:46:08.649
6151,Step rail,structure_6151,1,107,5,2,99,10,true,,,,,,2023-09-25 18:46:08.649
6120,Right sendan,structure_6120,1,130,5,9,99,70,true,,,,,,2023-09-25 18:46:08.649
6119,Left sendan,structure_6119,1,130,5,9,99,70,true,,,,,,2023-09-25 18:46:08.649
6118,Gessan,structure_6118,1,109,5,9,99,61,true,,,,,,2023-09-25 18:46:08.649
6117,Right suneate,structure_6117,1,130,5,9,99,53,true,,,,,,2023-09-25 18:46:08.649
6116,Left suneate,structure_6116,1,130,5,9,99,53,true,,,,,,2023-09-25 18:46:08.649
6115,Right kohire,structure_6115,1,130,5,9,99,46,true,,,,,,2023-09-25 18:46:08.649
6114,Left kohire,structure_6114,1,130,5,9,99,46,true,,,,,,2023-09-25 18:46:08.649
6113,Mempo,structure_6113,1,130,5,9,99,43,true,,,,,,2023-09-25 18:46:08.649
6112,Haraate,structure_6112,1,109,5,9,99,37,true,,,,,,2023-09-25 18:46:08.649
6111,Haidate,structure_6111,1,130,5,9,99,34,true,,,,,,2023-09-25 18:46:08.649
6110,Sikoro,structure_6110,1,130,5,9,99,30,true,,,,,,2023-09-25 18:46:08.649
6109,Right kote,structure_6109,1,130,5,9,99,28,true,,,,,,2023-09-25 18:46:08.649
6108,Left kote,structure_6108,1,130,5,9,99,28,true,,,,,,2023-09-25 18:46:08.649
6107,Right kusazuri,structure_6107,1,130,5,9,99,21,true,,,,,,2023-09-25 18:46:08.649
6106,Left kusazuri,structure_6106,1,130,5,9,99,21,true,,,,,,2023-09-25 18:46:08.649
6105,Nodowa,structure_6105,1,130,5,9,99,18,true,,,,,,2023-09-25 18:46:08.649
6104,Tanko,structure_6104,1,130,5,9,99,15,true,,,,,,2023-09-25 18:46:08.649
6103,Right sode,structure_6103,1,130,5,9,99,12,true,,,,,,2023-09-25 18:46:08.649
6102,Left sode,structure_6102,1,130,5,9,99,12,true,,,,,,2023-09-25 18:46:08.649
6101,Mengu,structure_6101,1,109,5,9,99,4,true,,,,,,2023-09-25 18:46:08.649
6070,Small APC panel,structure_6070,1,106,5,5,99,15,true,,,,,,2023-09-25 18:46:08.649
6069,Large APC panel,structure_6069,1,106,5,5,99,15,true,,,,,,2023-09-25 18:46:08.649
6068,Right military truck fender,structure_6068,1,106,5,5,99,14,true,,,,,,2023-09-25 18:46:08.649
6067,Right APC bumper,structure_6067,1,109,5,5,99,14,true,,,,,,2023-09-25 18:46:08.649
6066,Left APC bumper,structure_6066,1,109,5,5,99,14,true,,,,,,2023-09-25 18:46:08.649
6065,Left military truck fender,structure_6065,1,106,5,5,99,13,true,,,,,,2023-09-25 18:46:08.649
6064,Left flail,structure_6064,1,19,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
6063,Right flail,structure_6063,1,19,5,5,99,1,true,,,,,,2023-09-25 18:46:08.649
6062,Large thorn,structure_6062,1,19,5,7,99,7,true,,,,,,2023-09-25 18:46:08.649
6061,Small thorn,structure_6061,1,19,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
6060,Minivan panel,structure_6060,1,110,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
6059,Medium thorn,structure_6059,1,19,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
6058,Flayer,structure_6058,1,109,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
6057,Bus panel,structure_6057,1,110,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
6056,Aura,structure_6056,1,119,5,7,99,5,true,,,,,,2023-09-25 18:46:08.649
6055,Small assembly section,structure_6055,1,120,5,6,99,30,true,,,,,,2023-09-25 18:46:08.649
6054,Screener,structure_6054,1,109,5,6,99,30,true,,,,,,2023-09-25 18:46:08.649
6053,Reflector,structure_6053,1,120,5,6,99,29,true,,,,,,2023-09-25 18:46:08.649
6052,Incisor,structure_6052,1,19,5,6,99,2,true,,,,,,2023-09-25 18:46:08.649
6051,Large assembly section,structure_6051,1,120,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
6020,Backend,structure_6020,1,109,5,8,99,45,true,,,,,,2023-09-25 18:46:08.649
6019,Frontend,structure_6019,1,118,5,8,99,37,true,,,,,,2023-09-25 18:46:08.649
6018,Right truck fender,structure_6018,1,118,5,8,99,29,true,,,,,,2023-09-25 18:46:08.649
6017,Left truck fender,structure_6017,1,118,5,8,99,29,true,,,,,,2023-09-25 18:46:08.649
6016,Excavator hood,structure_6016,1,118,5,8,99,20,true,,,,,,2023-09-25 18:46:08.649
6015,Excavator plating left,structure_6015,1,118,5,8,99,11,true,,,,,,2023-09-25 18:46:08.649
6014,Excavator plating right,structure_6014,1,118,5,8,99,11,true,,,,,,2023-09-25 18:46:08.649
6013,Excavator side cover,structure_6013,1,118,5,8,99,4,true,,,,,,2023-09-25 18:46:08.649
6012,Crane plug right,structure_6012,1,118,5,8,99,22,true,,,,,,2023-09-25 18:46:08.649
6011,Crane plug left,structure_6011,1,118,5,8,99,22,true,,,,,,2023-09-25 18:46:08.649
6010,Crane hull right,structure_6010,1,118,5,8,99,21,true,,,,,,2023-09-25 18:46:08.649
6009,Crane hull left,structure_6009,1,118,5,8,99,21,true,,,,,,2023-09-25 18:46:08.649
6008,Crane side right,structure_6008,1,118,5,8,99,20,true,,,,,,2023-09-25 18:46:08.649
6007,Crane side left,structure_6007,1,118,5,8,99,20,true,,,,,,2023-09-25 18:46:08.649
6006,Digger hull,structure_6006,1,118,5,8,99,10,true,,,,,,2023-09-25 18:46:08.649
6005,Digger side,structure_6005,1,118,5,8,99,8,true,,,,,,2023-09-25 18:46:08.649
6004,Large platform,structure_6004,1,118,5,8,99,7,true,,,,,,2023-09-25 18:46:08.649
6003,Small platform,structure_6003,1,118,5,8,99,4,true,,,,,,2023-09-25 18:46:08.649
6002,Sloped platform,structure_6002,1,118,5,8,99,3,true,,,,,,2023-09-25 18:46:08.649
6001,Small digger side,structure_6001,1,118,5,8,99,2,true,,,,,,2023-09-25 18:46:08.649
5811,Sentry line,structure_5811,1,109,5,5,99,7,true,,,,,,2023-09-25 18:46:08.649
5810,Right rampart,structure_5810,1,134,5,5,99,8,true,,,,,,2023-09-25 18:46:08.649
5809,Left rampart,structure_5809,1,134,5,5,99,9,true,,,,,,2023-09-25 18:46:08.649
5808,Wedge,structure_5808,1,133,5,5,99,4,true,,,,,,2023-09-25 18:46:08.649
5807,Right barrier,structure_5807,1,128,5,5,99,6,true,,,,,,2023-09-25 18:46:08.649
5806,Left barrier,structure_5806,1,128,5,5,99,6,true,,,,,,2023-09-25 18:46:08.649
5805,Home front,structure_5805,1,133,5,5,99,5,true,,,,,,2023-09-25 18:46:08.649
5804,Western front,structure_5804,1,133,5,5,99,3,true,,,,,,2023-09-25 18:46:08.649
5803,Vanguard,structure_5803,1,133,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
5802,Line of defence,structure_5802,1,133,5,5,99,1,true,,,,,,2023-09-25 18:46:08.649
5801,Eastern front,structure_5801,1,133,5,5,99,3,true,,,,,,2023-09-25 18:46:08.649
5761,Right Death fender,structure_5761,1,113,5,7,99,7,true,,,,,,2023-09-25 18:46:08.649
5760,Left Death fender,structure_5760,1,113,5,7,99,7,true,,,,,,2023-09-25 18:46:08.649
5759,Finale,structure_5759,1,113,5,7,99,8,true,,,,,,2023-09-25 18:46:08.649
5758,Vial,structure_5758,1,121,5,7,99,4,true,,,,,,2023-09-25 18:46:08.649
5757,The Omen,structure_5757,1,109,5,7,99,6,true,,,,,,2023-09-25 18:46:08.649
5756,Pill,structure_5756,1,121,5,7,99,5,true,,,,,,2023-09-25 18:46:08.649
5755,Left plaster,structure_5755,1,121,5,7,99,2,true,,,,,,2023-09-25 18:46:08.649
5754,Bandage,structure_5754,1,121,5,7,99,3,true,,,,,,2023-09-25 18:46:08.649
5753,Right plaster,structure_5753,1,121,5,7,99,2,true,,,,,,2023-09-25 18:46:08.649
5752,Right catheter,structure_5752,1,121,5,7,99,1,true,,,,,,2023-09-25 18:46:08.649
5751,Left catheter,structure_5751,1,121,5,7,99,1,true,,,,,,2023-09-25 18:46:08.649
5706,Cranium,structure_5706,1,109,5,6,99,4,true,,,,,,2023-09-25 18:46:08.649
5705,Right rib,structure_5705,1,114,5,6,99,3,true,,,,,,2023-09-25 18:46:08.649
5704,Left rib,structure_5704,1,114,5,6,99,3,true,,,,,,2023-09-25 18:46:08.649
5703,Left phalanx,structure_5703,1,114,5,6,99,2,true,,,,,,2023-09-25 18:46:08.649
5702,Rump,structure_5702,1,114,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
5701,Right phalanx,structure_5701,1,114,5,6,99,2,true,,,,,,2023-09-25 18:46:08.649
5655,Rear cover,structure_5655,1,122,5,4,99,4,true,,,,,,2023-09-25 18:46:08.649
5654,Veil,structure_5654,1,109,5,4,99,2,true,,,,,,2023-09-25 18:46:08.649
5653,Right phantom fender,structure_5653,1,122,5,4,99,3,true,,,,,,2023-09-25 18:46:08.649
5652,Left phantom fender,structure_5652,1,122,5,4,99,3,true,,,,,,2023-09-25 18:46:08.649
5651,Bartizan,structure_5651,1,134,5,4,99,1,true,,,,,,2023-09-25 18:46:08.649
5612,Left bend,structure_5612,1,126,5,2,99,8,true,,,,,,2023-09-25 18:46:08.649
5611,Right bend,structure_5611,1,126,5,2,99,8,true,,,,,,2023-09-25 18:46:08.649
5610,Right backmarker,structure_5610,1,126,5,2,99,7,true,,,,,,2023-09-25 18:46:08.649
5609,Pole position,structure_5609,1,109,5,2,99,6,true,,,,,,2023-09-25 18:46:08.649
5608,Left backmarker,structure_5608,1,126,5,2,99,7,true,,,,,,2023-09-25 18:46:08.649
5607,Side guard left,structure_5607,1,108,5,2,99,3,true,,,,,,2023-09-25 18:46:08.649
5606,Bully' nosecut,structure_5606,1,108,5,2,99,4,true,,,,,,2023-09-25 18:46:08.649
5605,Bully' bumper,structure_5605,1,109,5,2,99,5,true,,,,,,2023-09-25 18:46:08.649
5604,Side guard right,structure_5604,1,108,5,2,99,3,true,,,,,,2023-09-25 18:46:08.649
5603,Right shielded fender,structure_5603,1,108,5,2,99,2,true,,,,,,2023-09-25 18:46:08.649
5602,Powerslide,structure_5602,1,108,5,2,99,1,true,,,,,,2023-09-25 18:46:08.649
5601,Left shielded fender,structure_5601,1,108,5,2,99,2,true,,,,,,2023-09-25 18:46:08.649
5559,Right side air intake,structure_5559,1,124,5,3,99,6,true,,,,,,2023-09-25 18:46:08.649
5558,Left side air intake,structure_5558,1,124,5,3,99,6,true,,,,,,2023-09-25 18:46:08.649
5557,Corrida nosecut,structure_5557,1,112,5,3,99,4,true,,,,,,2023-09-25 18:46:08.649
5556,Air splitter,structure_5556,1,109,5,3,99,5,true,,,,,,2023-09-25 18:46:08.649
5555,Right shoulder,structure_5555,1,112,5,3,99,2,true,,,,,,2023-09-25 18:46:08.649
5554,Left shoulder,structure_5554,1,112,5,3,99,2,true,,,,,,2023-09-25 18:46:08.649
5553,Corrida right fender,structure_5553,1,112,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5552,Corrida left fender,structure_5552,1,112,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5551,Mariposa,structure_5551,1,109,5,3,99,1,true,,,,,,2023-09-25 18:46:08.649
5507,Hot Rod' trunk,structure_5507,1,119,5,1,99,5,true,,,,,,2023-09-25 18:46:08.649
5506,Hot Rod' right rear fender,structure_5506,1,119,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5505,Hot Rod' right fender,structure_5505,1,119,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5504,Hot Rod' left rear fender,structure_5504,1,119,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5503,Hot Rod' left fender,structure_5503,1,119,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5502,Hot Rod' hood,structure_5502,1,119,5,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5501,Hot Rod' grille,structure_5501,1,119,5,1,99,4,true,,,,,,2023-09-25 18:46:08.649
5415,APC door,structure_5415,1,106,5,5,99,9,true,,,,,,2023-09-25 18:46:08.649
5414,Armored hatch,structure_5414,1,106,5,5,99,7,true,,,,,,2023-09-25 18:46:08.649
5413,Defence line,structure_5413,1,109,5,5,99,6,true,,,,,,2023-09-25 18:46:08.649
5412,Strengthened twin slope,structure_5412,1,106,5,5,99,5,true,,,,,,2023-09-25 18:46:08.649
5411,APC rear,structure_5411,1,106,5,5,99,5,true,,,,,,2023-09-25 18:46:08.649
5410,Defensive perimeter,structure_5410,1,109,5,5,99,4,true,,,,,,2023-09-25 18:46:08.649
5409,Small APC roof part,structure_5409,1,106,5,5,99,3,true,,,,,,2023-09-25 18:46:08.649
5408,APC side part,structure_5408,1,106,5,5,99,3,true,,,,,,2023-09-25 18:46:08.649
5407,Tank side part,structure_5407,1,106,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
5406,Strengthened ventilated slope,structure_5406,1,106,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
5405,Small tank side part,structure_5405,1,106,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
5404,Hard module,structure_5404,1,106,5,5,99,2,true,,,,,,2023-09-25 18:46:08.649
5403,Thin strike plate,structure_5403,1,106,5,5,99,1,true,,,,,,2023-09-25 18:46:08.649
5402,Strengthened slope,structure_5402,1,106,5,5,99,1,true,,,,,,2023-09-25 18:46:08.649
5401,APC roof part,structure_5401,1,106,5,5,99,1,true,,,,,,2023-09-25 18:46:08.649
5364,Stranglehold,structure_5364,1,109,5,7,99,9,true,,,,,,2023-09-25 18:46:08.649
5363,Right thorn,structure_5363,1,119,5,7,99,7,true,,,,,,2023-09-25 18:46:08.649
5362,Left thorn,structure_5362,1,119,5,7,99,7,true,,,,,,2023-09-25 18:46:08.649
5361,Rollover,structure_5361,1,119,5,7,99,4,true,,,,,,2023-09-25 18:46:08.649
5360,Boar,structure_5360,1,119,5,7,99,4,true,,,,,,2023-09-25 18:46:08.649
5359,Pipetooth,structure_5359,1,19,5,7,99,3,true,,,,,,2023-09-25 18:46:08.649
5358,Peaky blinder,structure_5358,1,119,5,7,99,3,true,,,,,,2023-09-25 18:46:08.649
5357,Devilry,structure_5357,1,119,5,7,99,3,true,,,,,,2023-09-25 18:46:08.649
5356,Scorched,structure_5356,1,119,5,7,99,2,true,,,,,,2023-09-25 18:46:08.649
5355,Nibbler,structure_5355,1,109,5,7,99,2,true,,,,,,2023-09-25 18:46:08.649
5354,Downstream,structure_5354,1,119,5,7,99,2,true,,,,,,2023-09-25 18:46:08.649
5353,Flaming rakes,structure_5353,1,119,5,7,99,1,true,,,,,,2023-09-25 18:46:08.649
5352,Cover your right',structure_5352,1,119,5,7,99,1,true,,,,,,2023-09-25 18:46:08.649
5351,Cover your left',structure_5351,1,119,5,7,99,1,true,,,,,,2023-09-25 18:46:08.649
5309,Shock absorber,structure_5309,1,109,5,6,99,7,true,,,,,,2023-09-25 18:46:08.649
5308,Cooling system,structure_5308,1,120,5,6,99,5,true,,,,,,2023-09-25 18:46:08.649
5307,Ventilation box,structure_5307,1,120,5,6,99,3,true,,,,,,2023-09-25 18:46:08.649
5306,Broken radiator,structure_5306,1,120,5,6,99,3,true,,,,,,2023-09-25 18:46:08.649
5305,Hull part,structure_5305,1,120,5,6,99,2,true,,,,,,2023-09-25 18:46:08.649
5304,Observation pod,structure_5304,1,120,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
5303,Hull back,structure_5303,1,120,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
5302,Control module,structure_5302,1,120,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
5301,Air intake,structure_5301,1,120,5,6,99,1,true,,,,,,2023-09-25 18:46:08.649
5269,Container wall,structure_5269,1,111,5,4,99,12,true,,,,,,2023-09-25 18:46:08.649
5268,Long pipe shield,structure_5268,1,123,5,4,99,10,true,,,,,,2023-09-25 18:46:08.649
5267,Twin slope,structure_5267,1,111,5,4,99,9,true,,,,,,2023-09-25 18:46:08.649
5266,Pipe shield,structure_5266,1,123,5,4,99,9,true,,,,,,2023-09-25 18:46:08.649
5265,Train plow,structure_5265,1,109,5,4,99,7,true,,,,,,2023-09-25 18:46:08.649
5264,Thick pipe mudguard,structure_5264,1,123,5,4,99,7,true,,,,,,2023-09-25 18:46:08.649
5263,Large fender,structure_5263,1,111,5,4,99,6,true,,,,,,2023-09-25 18:46:08.649
5262,Metal box,structure_5262,1,111,5,4,99,5,true,,,,,,2023-09-25 18:46:08.649
5261,Truck door,structure_5261,1,111,5,4,99,4,true,,,,,,2023-09-25 18:46:08.649
5260,Large slope,structure_5260,1,111,5,4,99,3,true,,,,,,2023-09-25 18:46:08.649
5259,Barrel quarter,structure_5259,1,111,5,4,99,3,true,,,,,,2023-09-25 18:46:08.649
5258,Wide slope,structure_5258,1,111,5,4,99,2,true,,,,,,2023-09-25 18:46:08.649
5257,Terribull bar,structure_5257,1,109,5,4,99,2,true,,,,,,2023-09-25 18:46:08.649
5256,Straight pipe,structure_5256,1,123,5,4,99,2,true,,,,,,2023-09-25 18:46:08.649
5255,Quarter wall,structure_5255,1,111,5,4,99,2,true,,,,,,2023-09-25 18:46:08.649
5254,Truck slope,structure_5254,1,111,5,4,99,1,true,,,,,,2023-09-25 18:46:08.649
5253,T-pipe,structure_5253,1,123,5,4,99,1,true,,,,,,2023-09-25 18:46:08.649
5252,Half-wall,structure_5252,1,111,5,4,99,1,true,,,,,,2023-09-25 18:46:08.649
5251,Curved pipe,structure_5251,1,123,5,4,99,1,true,,,,,,2023-09-25 18:46:08.649
5214,Buggy bumper,structure_5214,1,109,5,2,99,12,true,,,,,,2023-09-25 18:46:08.649
5213,Grater,structure_5213,1,107,5,2,99,8,true,,,,,,2023-09-25 18:46:08.649
5212,Frontal Protection System,structure_5212,1,109,5,2,99,7,true,,,,,,2023-09-25 18:46:08.649
5211,Dipper,structure_5211,1,107,5,2,99,7,true,,,,,,2023-09-25 18:46:08.649
5210,Buggy fender right,structure_5210,1,107,5,2,99,6,true,,,,,,2023-09-25 18:46:08.649
5209,Buggy fender left,structure_5209,1,107,5,2,99,6,true,,,,,,2023-09-25 18:46:08.649
5208,Buggy rear,structure_5208,1,107,5,2,99,4,true,,,,,,2023-09-25 18:46:08.649
5207,Dryer,structure_5207,1,107,5,2,99,3,true,,,,,,2023-09-25 18:46:08.649
5206,Bumper Spike,structure_5206,1,109,5,2,99,3,true,,,,,,2023-09-25 18:46:08.649
5205,Bullbar,structure_5205,1,109,5,2,99,2,true,,,,,,2023-09-25 18:46:08.649
5204,Buggy step plate,structure_5204,1,107,5,2,99,2,true,,,,,,2023-09-25 18:46:08.649
5203,Brazier,structure_5203,1,107,5,2,99,2,true,,,,,,2023-09-25 18:46:08.649
5202,Fryer,structure_5202,1,107,5,2,99,1,true,,,,,,2023-09-25 18:46:08.649
5201,Comb,structure_5201,1,107,5,2,99,1,true,,,,,,2023-09-25 18:46:08.649
5170,Twin BladeWing,structure_5170,1,19,5,3,99,9,true,,,,,,2023-09-25 18:46:08.649
5169,Oblique slope narrow,structure_5169,1,124,5,3,99,8,true,,,,,,2023-09-25 18:46:08.649
5168,Oblique slope wide,structure_5168,1,124,5,3,99,7,true,,,,,,2023-09-25 18:46:08.649
5167,Avia panel small,structure_5167,1,124,5,3,99,7,true,,,,,,2023-09-25 18:46:08.649
5166,Right avia fender,structure_5166,1,124,5,3,99,6,true,,,,,,2023-09-25 18:46:08.649
5165,Plane air intake,structure_5165,1,124,5,3,99,6,true,,,,,,2023-09-25 18:46:08.649
5164,Left avia fender,structure_5164,1,124,5,3,99,6,true,,,,,,2023-09-25 18:46:08.649
5163,Narrow wing,structure_5163,1,124,5,3,99,4,true,,,,,,2023-09-25 18:46:08.649
5162,Avia narrow slope,structure_5162,1,124,5,3,99,4,true,,,,,,2023-09-25 18:46:08.649
5161,Oblique strut,structure_5161,1,124,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5160,BladeWing,structure_5160,1,19,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5159,Avia strut,structure_5159,1,124,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5158,Avia double slope,structure_5158,1,124,5,3,99,3,true,,,,,,2023-09-25 18:46:08.649
5157,Small plow,structure_5157,1,109,5,3,99,2,true,,,,,,2023-09-25 18:46:08.649
5156,Avia wide slope,structure_5156,1,124,5,3,99,2,true,,,,,,2023-09-25 18:46:08.649
5155,Avia panel,structure_5155,1,124,5,3,99,2,true,,,,,,2023-09-25 18:46:08.649
5154,Plane nose,structure_5154,1,124,5,3,99,1,true,,,,,,2023-09-25 18:46:08.649
5153,Oblique slope,structure_5153,1,124,5,3,99,1,true,,,,,,2023-09-25 18:46:08.649
5152,Avia slope,structure_5152,1,124,5,3,99,1,true,,,,,,2023-09-25 18:46:08.649
5151,Avia panel large,structure_5151,1,124,5,3,99,1,true,,,,,,2023-09-25 18:46:08.649
5130,Torino bonnet,structure_5130,1,131,5,1,99,25,true,,,,,,2023-09-25 18:46:08.649
5129,Torino fender,structure_5129,1,131,5,1,99,22,true,,,,,,2023-09-25 18:46:08.649
5128,Torino rear,structure_5128,1,131,5,1,99,20,true,,,,,,2023-09-25 18:46:08.649
5127,Torino nosecut,structure_5127,1,131,5,1,99,20,true,,,,,,2023-09-25 18:46:08.649
5126,Buggy trunk,structure_5126,1,116,5,1,99,18,true,,,,,,2023-09-25 18:46:08.649
5125,Buggy engine cover,structure_5125,1,116,5,1,99,14,true,,,,,,2023-09-25 18:46:08.649
5124,Buggy floor,structure_5124,1,116,5,1,99,13,true,,,,,,2023-09-25 18:46:08.649
5123,Rear door,structure_5123,1,132,5,1,99,7,true,,,,,,2023-09-25 18:46:08.649
5122,Offroader bumper,structure_5122,1,109,5,1,99,6,true,,,,,,2023-09-25 18:46:08.649
5121,Small buggy floor,structure_5121,1,116,5,1,99,5,true,,,,,,2023-09-25 18:46:08.649
5120,Canvas roof,structure_5120,1,132,5,1,99,5,true,,,,,,2023-09-25 18:46:08.649
5119,Minivan sideboard,structure_5119,1,132,5,1,99,4,true,,,,,,2023-09-25 18:46:08.649
5118,Hatchet,structure_5118,1,19,5,1,99,4,true,,,,,,2023-09-25 18:46:08.649
5117,Gun mount,structure_5117,1,116,5,1,99,4,true,,,,,,2023-09-25 18:46:08.649
5116,Van window,structure_5116,1,132,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5115,Van ramp,structure_5115,1,132,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5114,Running board,structure_5114,1,132,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5113,Radiator grille,structure_5113,1,116,5,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5112,Whaleback,structure_5112,1,107,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5111,Small strut,structure_5111,1,129,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5110,Right crutch,structure_5110,1,107,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5109,Medium strut,structure_5109,1,129,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5108,Left crutch,structure_5108,1,107,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5107,Bumper 'Catch',structure_5107,1,109,5,1,99,2,true,,,,,,2023-09-25 18:46:08.649
5106,Van side,structure_5106,1,132,5,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5105,Fender,structure_5105,1,132,5,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5104,SM Hornet,structure_5104,1,18,2,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5103,Starter wheel ST,structure_5103,1,75,4,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5102,Starter wheel,structure_5102,1,75,4,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5101,Guerilla,structure_5101,1,5,1,1,99,1,true,,,,,,2023-09-25 18:46:08.649
5016,Lightweight frame 8*4,structure_5016,1,115,10,2,99,6,true,,,,,,2023-09-25 18:46:08.649
5015,Lightweight frame 6*4,structure_5015,1,115,10,2,99,3,true,,,,,,2023-09-25 18:46:08.649
5014,Lightweight frame 4*4,structure_5014,1,115,10,1,99,3,true,,,,,,2023-09-25 18:46:08.649
5013,Lightweight frame 2*6,structure_5013,1,115,10,2,99,3,true,,,,,,2023-09-25 18:46:08.649
